SKU,Producto,Categoria,Marca,Precio,Stock Actual,Caducidad,Estado
HMLHVZD0TM,Jeringa 3ml verde,Material Cirugia,3M,0.0,0,,Activo
YCOHEFEWLJ,Jeringa Tuberculina 1ml,Material Cirugia,3M,0.0,0,,Activo
UKENDQEMHP,Jeringas 20 ml,Material Cirugia,3M,0.0,0,,Activo
VWCOILZS0I,Manga Esterilización 7cm x 25cm,Material Cirugia,3M,0.0,0,,Activo
GWEKVV2M8P,Manga Esterilización 9cm x 3cm,Material Cirugia,3M,0.0,0,,Activo
P1ZNB0QBXJ,Mepivacaina 3%,Material Cirugia,3M,0.0,0,,Activo
0UEVKGOGID,Acrilico Autocurable 42,Material Laboratorio,Marche,6.98,0,,Activo
WZENDEHM2M,Acrilico Autocurable 45,Material Laboratorio,Marche,0.0,0,,Activo
0N23ZS8S4R,Acrilico Autocurable 46,Material Laboratorio,Marche,0.0,0,,Activo
3EUNZJ0V6Z,Acrilico Autocurable 47,Material Laboratorio,Marche,0.0,0,,Activo
FFFRFEQXXR,Acrilico Autocurable Rosado,Material Laboratorio,Marche,0.0,0,,Activo
4JWTLOCYO6,ACRILICO TRANSPARENTE,Material Laboratorio,Marche,0.0,0,,Activo
P6UVG4JFR7,acririlico autotransparente 1kg veracril,Material Laboratorio,Marche,1.0,0,,Activo
JTQQIR3ZKP,Aislante para Acrilico,Material Laboratorio,3M,0.0,0,,Activo
SZMTXXCRTF,Alcohol para quemar,Material Laboratorio,3M,0.0,0,,Activo
ELM5C74XPD,Bipines para Laboratorio,Material Laboratorio,Alfa Dental,0.0,0,,Activo
Q54CTJP6KY,Liquido para Cerec Dentatec,Material Laboratorio,3M,0.0,0,,Activo
DDKYJLK9AU,Cubo Cerec HT/B1,Material Laboratorio,3M,0.0,0,,Activo
BUTEEYLBLT,Cubo cerec HTA 1,Material Laboratorio,3M,0.0,0,,Activo
NSPLB3CWSG,Cubo cerec HTA 2,Material Laboratorio,3M,0.0,0,,Activo
T7WLT5X3NM,Cubo cerec HTA 3,Material Laboratorio,3M,0.0,0,,Activo
K9WLRAIDS4,Cubo cerec HTA 3.5,Material Laboratorio,3M,0.0,0,,Activo
WEVWZRX0M1,Cubo cerec HTBL 2,Material Laboratorio,3M,0.0,0,,Activo
OKZ59Q7F4F,Cubo cerec LTA 1,Material Laboratorio,3M,0.0,0,,Activo
WS7HHDB2UJ,Cubo cerec LTA 2,Material Laboratorio,3M,0.0,0,,Activo
FAB2SY9CU9,Cubo cerec LTA 3,Material Laboratorio,3M,0.0,0,,Activo
JZPXW8HRT4,Cubo cerec LTA 3.5,Material Laboratorio,3M,0.0,0,,Activo
MJFSOLC9UJ,Cubo cerec LTBL1,Material Laboratorio,3M,0.0,0,,Activo
HA6A9KFXGG,Cubo cerec LTBL2,Material Laboratorio,3M,0.0,0,,Activo
1XOVXQ4JPM,Cubo cerec MT OM2,Material Laboratorio,3M,0.0,0,,Activo
UGFNJVSPEH,Cubo cerec VITA A2C,Material Laboratorio,3M,0.0,0,,Activo
KUXSAAKSO4,Cubo cerec VITA A3C,Material Laboratorio,3M,0.0,0,,Activo
IDWDCYA24J,Cubo cerec VITA triluxe,Material Laboratorio,3M,0.0,0,,Activo
JDQ5ASSWHO,Disco para Laboratorio,Material Laboratorio,3M,0.0,0,,Activo
B4PAGLLCHT,Disco para pulido diverso lab,Material Laboratorio,3M,0.0,0,,Activo
7WYEKJ1WMD,Fresa de tramo largo,Material Laboratorio,3M,0.0,0,,Activo
BIX8MHZCRJ,Fresa para Cerec,Material Laboratorio,3M,0.0,0,,Activo
HSWHWECUFG,Fresa para Metal,Material Laboratorio,3M,0.0,0,,Activo
HPZSGLWXSU,Fresa rosada cilindrica para acrilico,Material Laboratorio,3M,0.0,0,,Activo
T7FM3SZ2TS,Fundente para soldadura,Material Laboratorio,3M,0.0,0,,Activo
VAECWTMX1T,Godiva Verde,Material Laboratorio,3M,0.0,0,,Activo
RW4FHEVBZO,Ionomero Restauracion A2,Material Laboratorio,3M,0.0,0,,Activo
DL6ZB9HI0I,Ionomero de Vidrio de restauración,Material Laboratorio,3M,0.0,0,,Activo
KHSIR82R22,Ionomero Restauracion A 3,Material Laboratorio,3M,0.0,0,,Activo
CCG3DDBQAR,Ionomero RestauracioN A2,Material Laboratorio,3M,0.0,0,,Activo
AKIPMEDN3H,Lija P220,Material Laboratorio,3M,0.0,0,,Activo
MLEXXLYQIA,Lija P400,Material Laboratorio,3M,0.0,0,,Activo
KIXJ3F5DK0,Lija P500,Material Laboratorio,3M,0.0,0,,Activo
I2O1E9VMCK,Lija P800,Material Laboratorio,3M,0.0,0,,Activo
EG5GFLKPOA,Lija P1500,Material Laboratorio,3M,0.0,0,,Activo
Q54CTJP6KY,Liquido para Cerec Dentatec,Material Laboratorio,3M,0.0,0,,Activo
32U2YOKXEU,Monómero,Material Laboratorio,Alfa Dental,0.0,0,,Activo
DISHZW1NDJ,Aguja para irrigación endodoncia,Materiales De Endodoncia,3M,0.0,0,,Activo
CAVWDMCUSI,canulas,Materiales De Endodoncia,Asatex,0.0,0,,Activo
69HBKUCNMB,Carpule,Materiales De Endodoncia,3M,0.0,0,,Activo
IZOONAP8AT,Cateter,Materiales De Endodoncia,3M,0.0,0,,Activo
O6J4CCNSA7,"Cono de Gutapercha Set de (6) F1, F2, F3",Materiales De Endodoncia,3M,0.0,0,,Activo
